Altium Designer Pick and Place Locations
D:\Applications\hardware\pca10056\trunk\production_files\400236_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       12.03.18
Time:       16:27
Revision:   14169
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C20","4.7µF","TopLayer","CAPC1608X06L","111.3636","31.9424","270","Capacitor, X7R, ±10%"
"C19","4.7µF","TopLayer","CAPC1608X06L","109.0136","32.6674","270","Capacitor, X7S, ±10%"
"C18","12pF","TopLayer","CAPC1005X04L","108.7981","37.0518","360","Capacitor, NP0, ±2%"
"C17","12pF","TopLayer","CAPC1005X04L","106.3851","38.5504","270","Capacitor, NP0, ±2%"
"C5","100nF","TopLayer","CAPC1005X04L","109.3238","40.4554","180","Capacitor, X7R, ±10%"
"C6","4.7µF","TopLayer","CAPC1608X06L","107.6128","32.6674","270","Capacitor, X7R, ±10%"
"C8","100nF","TopLayer","CAPC1005X04L","118.1886","32.4924","270","Capacitor, X7R, ±10%"
"C1","12pF","TopLayer","CAPC1005X04L","121.2028","43.7128","270","Capacitor, NP0, ±2%"
"X1","32MHz","TopLayer","BT-XTAL_2016","119.4248","43.7128","180","XTAL SMD 2016, 32MHz, Cl=8pF, Tol: ±10ppm, Stab: ±15ppm"
"C9","820pF","TopLayer","CAPC1005X04L","121.0636","35.6174","360","Capacitor, NP0, ±5%"
"C7","100nF","TopLayer","CAPC1005X04L","115.4898","32.4924","270","Capacitor, X7R, ±10%"
"C2","12pF","TopLayer","CAPC1005X04L","117.6468","43.7128","90","Capacitor, NP0, ±2%"
"U1","nRF52840-QIAA","TopLayer","AQFN50P700X700X85_HS-74N","115.1636","37.6174","360","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"X2","32.768kHz","TopLayer","XTAL_3215","108.6711","38.5250","360","XTAL SMD 2012, 32.768kHz, 9pF, ±20ppm"
"C14","1.0µF","TopLayer","CAPC1608X06L","109.3636","41.4440","180","Capacitor, X7R, ±10%"
"U25","74LVC1G08","TopLayer","SOT65P210X100-5N","23.6220","9.7790","360","Single 2-Input AND Gate"
"R89","1M0","TopLayer","RESC1005X04L","11.7602","11.4808","90","Resistor, ±1%, 0.063W"
"Q82","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","30.5054","20.0406","360","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"J6","HDR-2, 1mm","TopLayer","SM02B-SRSS-TB","3.1679","12.7762","270","1.0mm pitch connector side entry SMD"
"P27","Pin List 1x2","TopLayer","LIST_1x2-NC","8.1788","12.6746","270","Pin List 1x2, 2.54mm (100mil)"
"C64","10µF","TopLayer","CAPC1608X06L","9.9722","29.0576","180","Capacitor, X5R, ±20%"
"Bat1","Bat Holder CR2032","BottomLayer","CR2032_HOLDER_SMD","11.4300","31.7348","270","Bat Holder CR2032 SMD"
"R68","1M0","TopLayer","RESC1005X04L","64.5160","27.4320","270","Resistor, ±1%, 0.063W"
"P18","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","82.5500","27.9400","180","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"C47","300pF","TopLayer","CAPC1005X04L","125.7299","20.6688","180","Capacitor, NP0, ±5%"
"C46","300pF","TopLayer","CAPC1005X04L","123.6471","20.6688","180","Capacitor, NP0, ±5%"
"P20","Pin List 1x12","TopLayer","LIST_1x12_SMD","32.7660","45.7200","0","Pin List 1x12, 2.54mm (100mil), SMD"
"J4","TC2050-IDC","TopLayer","TC2050-IDC-NLFP","59.6900","43.1800","90","CBL PLUG-OF-NAILS 10-PIN"
"R22","10k","TopLayer","RESC1005X04L","49.9956","45.7708","270","Resistor, ±1%, 0.063W"
"R26","47k","TopLayer","RESC1005X04L","94.9960","59.7408","270","Resistor, ±1%, 0.063W"
"Q20","FDG6321C","TopLayer","SOT65P210X100-6N","52.2054","45.4152","180","Fairchild, FDG6321C, Dual N & P Channel Digital FET"
"Q21","FDG6321C","TopLayer","SOT65P210X100-6N","10.5664","58.4454","180","Fairchild, FDG6321C, Dual N & P Channel Digital FET"
"R24","10k","TopLayer","RESC1005X04L","8.6614","58.4454","270","Resistor, ±1%, 0.063W"
"R27","10k","TopLayer","RESC1005X04L","10.2870","55.6006","90","Resistor, ±1%, 0.063W"
"R23","10k","TopLayer","RESC1005X04L","53.7972","41.6306","180","Resistor, ±1%, 0.063W"
"Fid1","Fiducial mark","TopLayer","Fiducial","129.4708","59.9440","180","Fiducial Mark"
"Fid2","Fiducial mark","TopLayer","Fiducial","13.7428","2.8448","0","Fiducial Mark"
"R64","4k7","TopLayer","RESC1005X04L","53.7972","38.5572","360","Resistor, ±1%, 0.063W"
"R66","4k7","TopLayer","RESC1005X04L","53.7972","40.5384","360","Resistor, ±1%, 0.063W"
"R65","4k7","TopLayer","RESC1005X04L","53.7972","39.6240","360","Resistor, ±1%, 0.063W"
"R20","220R","TopLayer","RESC1005X04L","32.5850","17.2466","270","Resistor, ±1%, 0.063W"
"R21","220R","TopLayer","RESC1005X04L","33.5366","17.2466","270","Resistor, ±1%, 0.063W"
"LED5","LED RG","TopLayer","LED_DUAL_0606","33.0608","20.2946","180","Ultra bright AlInGaP Bi-Color LED"
"J2","MicroUSB-B","TopLayer","USB-Micro-B-RA-SMD-PiP","3.2813","31.7500","360","MicroUSB-B-SMT"
"C65","100nF","TopLayer","CAPC1005X04L","9.6928","30.0736","180","Capacitor, X7R, ±10%"
"D61","PRTR5V0U2X","TopLayer","SOT190P230X110-4L","8.1942","32.0802","270","Ultra low capacitance double rail-to-rail ESD protection diode"
"R60","39R","TopLayer","RESC1005X04L","32.1568","34.9488","270","Resistor, ±1%, 0.063W"
"X20","12MHz","TopLayer","BT-XTAL_3225","36.7692","36.7284","180","XTAL SMD 3225, 12MHz, Cl=18pF, Tol: ±30ppm, Stab: ±30ppm"
"U2","ATSAM3U2CA-AU","TopLayer","TSQFP50P1600X1600X160-100N","43.7542","25.4000","90","IC MCU 32bit 128kB flash 100LQFP"
"R28","150R","TopLayer","RESC1005X04L","44.2722","16.3576","180","Resistor, ±1%, 0.063W"
"R29","150R","TopLayer","RESC1005X04L","46.2026","16.3576","360","Resistor, ±1%, 0.063W"
"R25","6k8","TopLayer","RESC1005X04L","33.2132","29.1084","90","Resistor, ±1%, 0.063W"
"R67","4k7","TopLayer","RESC1005X04L","52.9236","33.1216","270","Resistor, ±1%, 0.063W"
"C24","100nF","TopLayer","CAPC1005X04L","34.0006","25.9588","360","Capacitor, X7R, ±10%"
"C26","100nF","TopLayer","CAPC1005X04L","34.5340","27.2796","90","Capacitor, X7R, ±10%"
"C35","100nF","TopLayer","CAPC1005X04L","45.8624","35.5854","270","Capacitor, X7R, ±10%"
"C40","100nF","TopLayer","CAPC1005X04L","53.3808","23.2664","270","Capacitor, X7R, ±10%"
"C33","100nF","TopLayer","CAPC1005X04L","41.2496","16.3830","360","Capacitor, X7R, ±10%"
"C25","100nF","TopLayer","CAPC1005X04L","34.0768","23.9268","180","Capacitor, X7R, ±10%"
"C34","100nF","TopLayer","CAPC1005X04L","44.4400","34.9250","360","Capacitor, X7R, ±10%"
"C43","100nF","TopLayer","CAPC1005X04L","53.3046","29.1338","270","Capacitor, X7R, ±10%"
"C41","100nF","TopLayer","CAPC1005X04L","53.9650","24.7396","180","Capacitor, X7R, ±10%"
"C36","100nF","TopLayer","CAPC1005X04L","49.0982","16.3322","180","Capacitor, X7R, ±10%"
"C31","100nF","TopLayer","CAPC1005X04L","38.2424","16.3576","180","Capacitor, X7R, ±10%"
"C44","10nF","TopLayer","CAPC1005X04L","52.9236","31.1658","270","Capacitor, X7R, ±10%"
"C27","10pF","TopLayer","CAPC1005X04L","32.3242","29.1084","90","Capacitor, NP0, ±2%"
"C28","100nF","TopLayer","CAPC1005X04L","34.5340","29.1084","90","Capacitor, X7R, ±10%"
"C39","10µF","TopLayer","CAPC1608X06L","52.1970","35.0774","180","Capacitor, X5R, ±20%"
"C37","100nF","TopLayer","CAPC1005X04L","49.3676","35.1282","360","Capacitor, X7R, ±10%"
"C29","18pF","TopLayer","CAPC1005X04L","34.4578","36.7538","90","Capacitor, NP0, ±5%"
"C38","10µF","TopLayer","CAPC1608X06L","49.0882","36.1442","360","Capacitor, X5R, ±20%"
"C30","18pF","TopLayer","CAPC1005X04L","39.0806","36.6776","270","Capacitor, NP0, ±5%"
"C32","100nF","TopLayer","CAPC1005X04L","39.0552","34.4932","360","Capacitor, X7R, ±10%"
"C67","100nF","TopLayer","CAPC1005X04L","2.0280","26.0096","180","Capacitor, X7R, ±10%"
"R30","0R","TopLayer","RESC1005X04L","54.0666","27.4320","180","Resistor, ±5%, 0.063W"
"P5","Pin Hdr 2x3","TopLayer","HDR_2x3-SMD","64.8970","33.0200","270","Pin Header 2x3, 2.54mm (100mil) SMD"
"P2","Socket 1x6","TopLayer","SOCKET_1x6_SMD","57.1500","7.6200","360","Socket 1x6, 2.54mm (100mil), SMD"
"P1","Socket 1x8","TopLayer","SOCKET_1x8_SMD","36.8300","7.6200","360","Socket 1x8, 2.54mm (100mil), SMD"
"P4","Socket 1x10","TopLayer","SOCKET_1x10_SMD","30.2260","55.8800","180","Socket 1x10, 2.54mm (100mil), SMD"
"P3","Socket 1x8","TopLayer","SOCKET_1x8_SMD","54.6100","55.8800","180","Socket 1x8, 2.54mm (100mil), SMD"
"P7","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","36.8300","7.6200","0","Pin List 1x8, 2.54mm (100mil), SMD"
"P9","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","54.6100","55.8800","180","Pin List 1x8, 2.54mm (100mil), SMD"
"P10","Pin List 1x10","BottomLayer","LIST_1x10_SMD-NC","30.2260","55.8800","180","Pin List 1x10, 2.54mm (100mil), SMD"
"P8","Pin List 1x6","BottomLayer","LIST_1x6_SMD-NC","57.1500","7.6200","360","Pin List 1x6, 2.54mm (100mil), SMD"
"P11","Socket 2x3","TopLayer","SOCKET_2x3_SMD-2.54mm-bottom-NC","64.8970","33.0200","270","Socket 2x3, 2.54mm (100mil), SMD"
"SW8","MKH-22D14-G2-B","TopLayer","MKH-22D14-G2-B","5.5276","5.3594","360","Slide Switch DPDT"
"P19","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","3.8860","58.7756","90","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"P21","Pin List 1x2, Angled","TopLayer","LIST_ANG_1x2-SMD-2.54MM","9.5628","19.2786","270","Pin List 1x2, 2.54mm (100mil), Right Angled, SMD"
"P13","Pin Header 2x8","TopLayer","HDR_2x8-NC","36.8300","2.5400","360","Pin Header 2x8, 2.54mm (100mil)"
"P14","Pin Header 2x6","TopLayer","HDR_2x6-NC","57.1500","2.5400","360","Pin Header 2x6, 2.54mm (100mil)"
"P15","Pin Header 2x8","TopLayer","HDR_2x8-NC","54.6100","60.9600","180","Pin Header 2x8, 2.54mm (100mil)"
"P16","Pin Header 2x10","TopLayer","HDR_2x10-NC","30.2260","60.9600","180","Pin Header 2x10, 2.54mm (100mil)"
"R63","10k","TopLayer","RESC1005X04L","2.0280","26.8986","180","Resistor, ±1%, 0.063W"
"R61","39R","TopLayer","RESC1005X04L","32.1568","33.0632","90","Resistor, ±1%, 0.063W"
"P6","Socket 1x8","TopLayer","SOCKET_1x8_SMD","77.4700","55.8800","180","Socket 1x8, 2.54mm (100mil), SMD"
"P12","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","77.4700","55.8800","180","Pin List 1x8, 2.54mm (100mil), SMD"
"P17","Pin Header 2x8","TopLayer","HDR_2x8-NC","77.4700","60.9600","180","Pin Header 2x8, 2.54mm (100mil)"
"P24","Socket 2x9","TopLayer","SOCKET_2x9_SMD-2.54mm","95.2500","43.1800","270","Socket 2x9, 2.54mm (100mil), SMD"
"P25","Pin Header 2x10, 1.27mm","TopLayer","HDR_2x10-SMD-1.27mm-NC","79.3750","36.1950","180","Pin Header 2x10, 1.27mm (50mil), SMD, Keying Shroud"
"R86","1M0","TopLayer","RESC1005X04L","14.3510","14.5542","360","Resistor, ±1%, 0.063W"
"U13","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","21.0312","15.4940","360","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"U14","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","21.0312","13.8430","360","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"U21","74LVC1G11","TopLayer","SOT65P210X100-6N","18.8722","9.7790","360","Single 3-input AND gate"
"U15","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","21.0312","12.1920","360","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"C85","100nF","TopLayer","CAPC1005X04L","27.3558","28.1940","360","Capacitor, X7R, ±10%"
"C50","100nF","TopLayer","CAPC1005X04L","90.9066","21.4122","360","Capacitor, X7R, ±10%"
"R87","1M0","TopLayer","RESC1005X04L","28.4480","16.6116","360","Resistor, ±1%, 0.063W"
"R88","N.C.","TopLayer","RESC1005X04L","32.5882","38.4556","90","Not mounted"
"SW9","JS203011JCQN","TopLayer","Switch-Slide-J-Lead-DP3T-13x3.5mm","23.7490","38.5064","360","Slide Switch DP3T 300mA 6V"
"SW7","Switch","TopLayer","CJS-120xA","82.5500","43.8150","360","SMD slide Switch (ON-ON)"
"U17","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","23.3172","17.8816","180","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"U16","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","25.5778","17.8816","180","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"U8","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","91.9480","23.6220","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"C49","100nF","TopLayer","CAPC1005X04L","111.6838","20.4470","180","Capacitor, X7R, ±10%"
"C42","100nF","TopLayer","CAPC1005X04L","71.0946","20.1930","360","Capacitor, X7R, ±10%"
"C45","100nF","TopLayer","CAPC1005X04L","59.5884","15.9004","90","Capacitor, X7R, ±10%"
"C48","100nF","TopLayer","CAPC1005X04L","79.1210","19.9644","360","Capacitor, X7R, ±10%"
"C63","10nF","TopLayer","CAPC1005X04L","6.6548","36.8808","360","Capacitor, X7R, ±10%"
"C60","10nF","TopLayer","CAPC1005X04L","84.9954","7.3414","270","Capacitor, X7R, ±10%"
"C61","10µF","TopLayer","CAPC1608X06L","92.6230","11.2784","270","Capacitor, X5R, ±20%"
"C62","100nF","TopLayer","CAPC1005X04L","91.6324","11.5324","270","Capacitor, X7R, ±10%"
"C66","100nF","TopLayer","CAPC1005X04L","95.2819","3.3555","90","Capacitor, X7R, ±10%"
"D60","PRTR5V0U2X","TopLayer","SOT190P230X110-4L","89.4273","10.3398","360","Ultra low capacitance double rail-to-rail ESD protection diode"
"FB65","120R/0.55A","TopLayer","INDC1005X04L","2.0212","25.1392","360","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB63","120R/0.55A","TopLayer","INDC1005X04L","5.9328","28.7790","270","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB61","120R/0.55A","TopLayer","INDC1005X04L","5.5855","37.7342","180","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB60","120R/0.55A","TopLayer","INDC1005X04L","84.1064","7.3414","90","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB62","120R/0.55A","TopLayer","INDC1005X04L","93.6136","11.5578","90","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB64","120R/0.55A","TopLayer","INDC1005X04L","96.1201","3.3555","270","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"J3","MicroUSB-B","TopLayer","USB-Micro-B-RA-SMD-PiP","89.7293","4.8944","90","MicroUSB-B-SMT"
"J5","FPC 0.5mm RA SMD","TopLayer","FPC_05P-0.5mm-RA-SMD","124.6978","8.1782","0","0.5mm FPC, 5P,Right Angle SMT,Double Contact,H=1.2mm,White, Tin plated"
"P22","Pin List 1x2, Angled","TopLayer","LIST_ANG_1x2-SMD-2.54MM","9.5628","43.0000","270","Pin List 1x2, 2.54mm (100mil), Right Angled, SMD"
"Q40","FDG6321C","TopLayer","SOT65P210X100-6N","15.1130","38.7350","360","Fairchild, FDG6321C, Dual N & P Channel Digital FET"
"R40","150k","TopLayer","RESC1005X04L","14.6304","36.9316","360","Resistor, ±1%, 0.063W"
"R41","1M0","TopLayer","RESC1005X04L","17.1196","38.6842","90","Resistor, ±1%, 0.063W"
"R44","0R","TopLayer","RESC1005X04L","124.2060","22.2250","90","Resistor, ±5%, 0.063W"
"R46","0R","TopLayer","RESC1005X04L","125.1966","22.2250","90","Resistor, ±5%, 0.063W"
"R43","N.C.","TopLayer","RESC1005X04L","123.6686","23.7998","360","Not mounted"
"R45","N.C.","TopLayer","RESC1005X04L","125.7514","23.7998","180","Not mounted"
"R54","N.C.","TopLayer","RESC1005X04L","79.7306","13.0810","360","Not mounted"
"R47","220R","TopLayer","RESC1005X04L","113.5593","54.0443","360","Resistor, ±1%, 0.063W"
"R48","220R","TopLayer","RESC1005X04L","119.8839","54.0443","360","Resistor, ±1%, 0.063W"
"R50","220R","TopLayer","RESC1005X04L","113.5593","50.2343","360","Resistor, ±1%, 0.063W"
"R51","220R","TopLayer","RESC1005X04L","119.8839","50.2343","360","Resistor, ±1%, 0.063W"
"R62","10k","TopLayer","RESC1005X04L","94.4183","3.3555","90","Resistor, ±1%, 0.063W"
"R83","820k","TopLayer","RESC1005X04L","11.7824","13.3858","270","Resistor, ±1%, 0.063W"
"R85","470k","TopLayer","RESC1005X04L","10.8934","13.3858","90","Resistor, ±1%, 0.063W"
"SW5","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","77.2922","4.5016","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW1","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","105.6532","13.8298","360","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW2","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","115.9148","13.8298","360","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW3","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","105.6532","4.5016","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW4","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","115.9148","4.5016","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW6","MKH-22D14-G2-B","TopLayer","MKH-22D14-G2-B","104.3686","57.9882","180","Slide Switch DPDT"
"U3","MX25R6435F","TopLayer","SON127P600X80_HS-9N","113.9190","23.6728","180","Ultra low power, 64M-bit, serial multi I/O flash memory"
"U5","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","73.9394","19.7104","90","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U6","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","59.7916","18.5674","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U7","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","81.9404","19.7104","90","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U18","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","30.1188","17.1862","180","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"U19","TS27L2IPT","TopLayer","TSOP65P640X120-8N","24.9428","25.7810","360","Precision very low power CMOS dual operational amplifier"
"C89","100nF","TopLayer","CAPC1005X04L","20.9550","9.5758","90","Capacitor, X7R, ±10%"
"C90","100nF","TopLayer","CAPC1005X04L","25.7048","10.5918","90","Capacitor, X7R, ±10%"
"SW10","CAS-220TA","TopLayer","CAS-220TA","20.6248","4.0640","180","Slide Switch DPDT J Hook"
"R90","N.C.","TopLayer","RESC1005X04L","16.3320","43.0254","90","Not mounted"
"U20","74LVC1G08","TopLayer","SOT65P210X100-5N","24.9682","14.6050","180","Single 2-Input AND Gate"
"C93","100nF","TopLayer","CAPC1005X04L","24.3586","12.3190","180","Capacitor, X7R, ±10%"
"R92","10M","TopLayer","RESC1005X04L","25.3492","4.6228","360","Resistor, ±1%, 0.063W"
"D84","MBRM110E","TopLayer","DO-216AA","19.5072","26.0934","270","Diode Schottky Vf=0.455V @ 100mA, Vr=10V, If=1000mA, Ir=1µA @ 10V"
"Q83","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","35.8394","15.0368","90","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"R94","10M","TopLayer","RESC1005X04L","34.1376","14.9352","180","Resistor, ±1%, 0.063W"
"R93","1k","TopLayer","RESC1005X04L","36.8300","14.7574","90","Resistor, ±1%, 0.063W"
"C84","470nF","TopLayer","CAPC1005X04L","15.4178","28.1940","180","Capacitor, X5R, ±10%"
"C83","10µF","TopLayer","CAPC1608X06L","8.8900","25.3746","270","Capacitor, 0603, 25V, X5R"
"C81","15pF","TopLayer","CAPC1005X04L","6.0452","25.0444","270","Capacitor, NP0, ±5%"
